evaluation_cohort,estimand,scenario_id,cost_weight_multiplier,support_penalty_multiplier,row_count,delta_objective,positive,role
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,2.0,1.0,2124,-0.24468533436649076,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_reduction_25,2.0,2.0,2124,-0.24779267899925914,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,0.5,0.5,561,-0.05152857134438525,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,0.5,1.0,561,-0.05500450717326226,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,0.5,2.0,561,-0.06195637883101627,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,1.0,0.5,561,-0.10152857134438524,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,1.0,1.0,561,-0.10500450717326226,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,1.0,2.0,561,-0.11195637883101626,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,2.0,0.5,561,-0.20152857134438526,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,2.0,1.0,561,-0.20500450717326227,False,descriptive_only
legacy_posthoc,observation_weighted_pooled_h1_h3,tp_tn_reduction_10,2.0,2.0,561,-0.21195637883101628,False,descriptive_only
