split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
train,2,delta_yN,16759,0.051658351611353605,0.017610459301663623,16759,0.06534037047004924,0.019488883458442012,-0.01368201885869564,-0.001878424156778389,0.20939610167908693,0.09638439065962554
train,2,delta_yT,16759,0.2014005798855167,0.12311206378091157,16759,0.29371654708674694,0.17467829956204006,-0.09231596720123023,-0.0515662357811285,0.31430291591289,0.29520687979226545
train,2,sigma_F,16759,0.040250957356623686,0.019128463014909607,16759,0.04025095854534417,0.01912846428994184,-1.1887204831584341e-09,-1.2750322325727481e-09,2.9532724837330203e-08,6.665627795552765e-08
train,2,sigma_N,16759,0.054611902708715875,0.011905551959680297,16759,0.05461190396713552,0.011905552583414684,-1.2584196462661623e-09,-6.237343870563183e-10,2.3042955012582184e-08,5.239020891186743e-08
train,2,sigma_T,16759,0.06276488360255811,0.031663954460689876,16759,0.06276487500778459,0.031663957249934024,8.594773517889287e-09,-2.7892441481491836e-09,-1.36936041326033e-07,8.808893108756946e-08
train,2,yF,16759,0.12595465507355047,0.07468282878381112,16759,0.1373939794434323,0.07533197442094212,-0.01143932436988182,-0.0006491456371310045,0.08325928411289381,0.008617132925571421
train,2,yN,16759,0.04609151019408075,0.01480711803522206,16759,0.04997050772755846,0.014249852470761517,-0.0038789975334777155,0.0005572655644605438,0.07762573785774182,-0.03910676027025305
train,2,yT,16759,0.21189364896866555,0.15144729454923242,16759,0.25245788832848204,0.1423385433629942,-0.040564239359816484,0.009108751186238218,0.16067725048478934,-0.06399356752590142
train,3,all,15754,0.10506539125768131,0.062526536089503,15754,0.13193926375294182,0.07038848819168955,-0.026873872495260506,-0.007861952102186556,0.20368366270090926,0.11169372015458034
train,3,delta_yF,15754,0.12539568015131827,0.07668255639739095,15754,0.1740092546900144,0.10075617961087051,-0.048613574538696136,-0.024073623213479556,0.27937350013536866,0.23892949600167523
train,3,delta_yN,15754,0.04884492894710045,0.016490750034645122,15754,0.06604341450951491,0.019898806761875058,-0.01719848556241446,-0.0034080567272299356,0.2604118168350709,0.17126940162862286
train,3,delta_yT,15754,0.20297502163838108,0.1333767529049697,15754,0.29449338873548797,0.17716160758344204,-0.0915183670971069,-0.043784854678472346,0.31076543853861555,0.24714640646873756
train,3,sigma_F,15754,0.04079850014474993,0.019841037668884596,15754,0.04079850154753552,0.019841039396034547,-1.402785589077471e-09,-1.7271499508364485e-09,3.438326251867473e-08,8.70493685518128e-08
train,3,sigma_N,15754,0.057217620914309514,0.012900829829736244,15754,0.05721762152188315,0.01290083373284921,-6.075736372346263e-10,-3.903112966510691e-09,1.0618645464007218e-08,3.0254734285678374e-07
train,3,sigma_T,15754,0.0662202650834515,0.033527463526990306,15754,0.06622025339171371,0.03352746350996474,1.1691737786256873e-08,1.7025568455064644e-11,-1.7655833657259738e-07,-5.07809618523765e-10
train,3,yF,15754,0.13064406351014698,0.08052027829334762,15754,0.1475144647004009,0.082357599428951,-0.016870401190253903,-0.0018373211356033786,0.11436438605880021,0.022309066174135094
train,3,yN,15754,0.04949940099397419,0.01689782203704221,15754,0.05461885427427889,0.015991962411363702,-0.005119453280304706,0.0009058596256785074,0.09373051391002096,-0.05664468202068898
train,3,yT,15754,0.2239930399356999,0.17250133411252017,15754,0.28653762040564673,0.17106090128985518,-0.06254458046994682,0.0014404328226649832,0.21827702896884346,-0.008420584784738349
validation,0,all,18186,0.1351650753921885,0.0837345234871738,18186,0.15903689047290429,0.09407184387594184,-0.023871815080715786,-0.010337320388768029,0.15010237567982956,0.10988750685487222
validation,0,delta_yF,18186,0.144071603155444,0.09002592979740759,18186,0.19275513347885218,0.11994353631656975,-0.048683530323408164,-0.029917606519162157,0.2525667122050962,0.2494307524850687
validation,0,delta_yN,18186,0.1167239449476138,0.06972000730794137,18186,0.1448551954083261,0.08675174220182132,-0.028131250460712284,-0.01703173489387995,0.1942025647158482,0.19632729512517358
validation,0,delta_yT,18186,0.23338342242031715,0.15677094509351716,18186,0.312860500552137,0.20199097308515518,-0.07947707813181984,-0.04522002799163802,0.2540335964161615,0.22387152901419113
validation,0,sigma_F,18186,0.055418795438852884,0.02548440732696879,18186,0.05541879010743788,0.025484409284456642,5.331415003917428e-09,-1.9574878523664907e-09,-9.620229877955937e-08,7.681119191412431e-08
validation,0,sigma_N,18186,0.13592676590281846,0.06209955977932082,18186,0.13592676695589775,0.062099568299596015,-1.0530792904361874e-09,-8.520275193713012e-09,7.747401884265115e-09,1.3720345289048395e-07
