evidence_id,evidence_block,hypothesis_id,cohort,estimand,comparison_or_scenario,horizon_months,metric,estimate,ci95_lower,ci95_upper,denominator,availability_state,adjudication,artifact_path,limitation,authority_commit
DEG:fresh_primary:site_weighted:P1:h3:mcar:brier,degradation,H3|H4,fresh_primary,site_weighted,P1:mcar,3,aupd_brier,0.9551826643,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h3:mcar:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,P1:mcar,3,aupd_pr_auc,0.8463706947,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h3:temporal_block:brier,degradation,H3|H4,fresh_primary,site_weighted,P1:temporal_block,3,aupd_brier,0.977449038,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:fresh_primary:site_weighted:P1:h3:temporal_block:pr_auc,degradation,H3|H4,fresh_primary,site_weighted,P1:temporal_block,3,aupd_pr_auc,0.9109657584,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h1:mcar:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:mcar,1,aupd_brier,0.9991227992,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h1:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:mcar,1,aupd_pr_auc,0.9510632382,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h1:temporal_block:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:temporal_block,1,aupd_brier,0.9980324251,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h1:temporal_block:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:temporal_block,1,aupd_pr_auc,0.9749605949,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h2:mcar:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:mcar,2,aupd_brier,0.9965225869,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h2:mcar:pr_auc,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:mcar,2,aupd_pr_auc,0.9681548438,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
DEG:legacy_posthoc:observation_weighted:M0:h2:temporal_block:brier,degradation,H3|H4,legacy_posthoc,observation_weighted,M0:temporal_block,2,aupd_brier,0.9984125556,,,5,descriptive_available,descriptive_only,reports/closure_v2/06_degradation/aupd.csv,"Deterministic simulated missingness, not field robustness.",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac
