split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
validation,0,yT,18186,0.17893586902528955,0.12800542788839597,-0.07083564316965521,0.8972286374133949,0.5509443804334915
validation,0,sigma_N,18186,0.13580877139736758,0.0621335830780771,-1.2505842913866017,0.9268118332783459,0.4118808971620243
validation,0,sigma_F,18186,0.05329586154999573,0.025566720758008313,-2.6190854698390074,0.9033322335862751,0.13002672366389056
validation,0,sigma_T,18186,0.0779721789477395,0.052184431411036694,-1.7961704862874215,0.8893104585945233,0.25334633483517544
validation,0,delta_yN,18186,0.09454456840823197,0.05590905087046349,-1.9670814489827984,0.9436379632684483,0.3613689472530327
validation,0,delta_yF,18186,0.1254421234484977,0.07790601433116612,-1.679454834091772,0.8712196194875179,0.3608898413295362
validation,0,delta_yT,18186,0.2065765527084192,0.1351504664104868,-0.2647441896316728,0.8842516221269108,0.6240698548940677
test,1,all,7582,0.1110095741686153,0.06764641601384086,-1.6023632078518213,0.9194437117148804,0.3594705956374716
test,1,yN,7582,0.08274357540553197,0.05542606714374942,-1.8676647477085815,0.9459245581640728,0.32929779331717446
test,1,yF,7582,0.1061636812585953,0.06926504284560099,-1.7468275464137668,0.8919810076496967,0.3116049429446467
test,1,yT,7582,0.15688589253881038,0.1038275299899907,-0.6536986266236543,0.9229754682141915,0.5053673775395439
test,1,sigma_N,7582,0.1381184887094488,0.06343064702648313,-0.7830034506034801,0.9084674228435768,0.4090688258165799
test,1,sigma_F,7582,0.038333588754489584,0.020464774062972497,-2.867100967954627,0.9175679240305988,0.13431765891039663
test,1,sigma_T,7582,0.06306986940093487,0.03857780567293462,-2.325989187125385,0.946452123450277,0.2581330645024635
test,1,delta_yN,7582,0.09790775107133402,0.060161504321600195,-1.7752373810337703,0.9484304932735426,0.37703339005170666
test,1,delta_yF,7582,0.1214355777440394,0.07599027639201372,-1.6000448965013767,0.8740437879187549,0.3376423997509231
test,1,delta_yT,7582,0.19442774263435353,0.12167409666922249,-0.8017020667017497,0.9191506198892113,0.5727699079038097
test,2,all,6826,0.11434992634666938,0.0706974226579608,-1.3162363074846277,0.9072175017091513,0.3662358009400349
test,2,yN,6826,0.08681945037321885,0.05937682526606882,-1.5882314351727598,0.9351010840902432,0.3208443779698083
test,2,yF,6826,0.11678170911802258,0.07720547626348943,-1.6255678388683321,0.8738646352182831,0.3276665404225038
test,2,yT,6826,0.1671487008871812,0.11301861768449258,-0.29705180948583254,0.9267506592440669,0.5318654831853599
test,2,sigma_N,6826,0.14885420828180515,0.07314099478400281,-0.4585334169805277,0.8822150600644594,0.3842777828649101
test,2,sigma_F,6826,0.04085992545478735,0.022846714967581803,-2.828041752866381,0.9099033108702022,0.13463659398967207
test,2,sigma_T,6826,0.06707987227737827,0.04431752202589771,-2.258617360327134,0.9397890418986229,0.2600195572727627
test,2,delta_yN,6826,0.09665558366204886,0.059873566236658037,-1.6418952696001359,0.9270436566070905,0.3776025798290732
test,2,delta_yF,6826,0.12254373915658509,0.07407802624538991,-1.4915541683233906,0.8653677116905948,0.36101877504243135
test,2,delta_yT,6826,0.18240614790899717,0.11241906044806618,0.3433662842628441,0.9049223556987988,0.5981905178837925
