split,horizon_months,target,pipe_rows,pipe_rmse,pipe_mae,persistence_rows,persistence_rmse,persistence_mae,rmse_delta_pipe_minus_persistence,mae_delta_pipe_minus_persistence,rmse_relative_improvement,mae_relative_improvement
train,3,delta_yN,100807,0.04688695877821642,0.01471908807843799,100807,0.06604297052873558,0.019824002474871337,-0.019156011750519154,-0.0051049143964333465,0.29005375738185935,0.25751179172340566
train,3,delta_yT,100807,0.18838697357031176,0.10585016868771661,100807,0.2927856806518773,0.17599923796989095,-0.10439870708156557,-0.07014906928217433,0.35657039937583496,0.39857598300610303
train,3,sigma_F,100807,0.03836665153243055,0.020058435448265643,100807,0.0412175683900975,0.020217822828158934,-0.0028509168576669464,-0.00015938737989329085,0.0691675168870922,0.007883508587843577
train,3,sigma_N,100807,0.05574189823867826,0.012637972569791312,100807,0.05588970034376065,0.012574548392526221,-0.00014780210508238967,6.342417726509092e-05,0.0026445320725161092,-0.005043853288821693
train,3,sigma_T,100807,0.053467124622952736,0.03238298827532552,100807,0.06644330591765053,0.03405967104413918,-0.012976181294697797,-0.0016766827688136574,0.19529704483368732,0.049227802777096194
train,3,yF,100807,0.11058174106032118,0.07139917640705334,100807,0.1478823136704881,0.08345877095980515,-0.03730057261016692,-0.01205959455275181,0.2522314649017474,0.14449762935713334
train,3,yN,100807,0.04273069908522652,0.014374029330457444,100807,0.05362283942987325,0.015568913488384892,-0.01089214034464673,-0.0011948841579274474,0.20312502024237689,0.07674807614666782
train,3,yT,100807,0.16986244448812882,0.10886060966046607,100807,0.2825000383288392,0.16860402769477847,-0.11263759384071037,-0.05974341803431241,0.3987170922419365,0.3543415827673173
validation,0,all,18186,0.11892452952928588,0.07433579143634783,18186,0.15903689047290429,0.09407184387594184,-0.040112360943618405,-0.019736052439594004,0.25222048057115715,0.20979765705051043
validation,0,delta_yF,18186,0.1254421234484977,0.07790601433116612,18186,0.19275513347885218,0.11994353631656975,-0.06731301003035448,-0.04203752198540363,0.34921513536623716,0.3504775936775203
validation,0,delta_yN,18186,0.09454456840823197,0.05590905087046349,18186,0.1448551954083261,0.08675174220182132,-0.050310627000094116,-0.03084269133135783,0.34731669001084603,0.35552820667975354
validation,0,delta_yT,18186,0.2065765527084192,0.1351504664104868,18186,0.312860500552137,0.20199097308515518,-0.10628394784371778,-0.06684050667466837,0.3397167352738604,0.3309083849330723
