degradation_version,scenario_id,scenario_family,scenario_tier,scenario_status,seed,score_recomputed,backtest_version,group_type,group_value,source_id,split,rollout_horizon_months,target,rows,rmse,mae,bias,simulation_90_coverage,simulation_90_mean_width,persistence_rmse,persistence_mae,rmse_relative_improvement,mae_relative_improvement
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,sigma_T,28,0.12145105696744815,0.09273866383302677,-0.04592282119532783,0.8214285714285714,0.31132500405822483,0.14391004092753676,0.10765425028223265,0.1560626611967779,0.13855083668412818
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,yF,28,0.3848193718762165,0.27907230801137883,-0.22611627026689657,0.8214285714285714,0.7727564743586949,0.4910432320514292,0.3345864105967761,0.2163228270786703,0.1659185813505725
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,yN,28,0.198814104523821,0.1285084417470562,-0.08764128812963343,0.75,0.27292385857020107,0.2218938039726494,0.13862636106650375,0.10401236553533148,0.07298697911138018
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,lakebed_us_cse,lakebed_us_cse,test,1,yT,28,0.21439698069529062,0.16307973658172487,-0.059426143176025466,0.8571428571428571,0.5527042842337063,0.2751178913135698,0.2023514378353713,0.22070869447407762,0.19407670967772922
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,all,55305,0.2301968987037688,0.1528881753907833,-0.01969387898694223,0.7461350691619203,0.4714704784929265,0.2721511804787572,0.1594669688953678,0.15415800034813054,0.041254897802071325
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yF,6145,0.22276396721532513,0.18553091537474475,0.16348328890488975,0.5858421480878763,0.628822227659733,0.22341324754195516,0.13867420848213974,0.002906185437853685,-0.3378905667137075
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yN,6145,0.1393932508315831,0.09751429590641551,0.056981410685996256,0.5174938974776241,0.19542201571691284,0.2021189846327875,0.12426647246926609,0.3103406338358831,0.21528072722485136
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,delta_yT,6145,0.23999397688857982,0.18113685267950222,0.10191440088852939,0.6519121236777868,0.39980453488175804,0.3176307210804379,0.20374837963426942,0.24442454409879663,0.11097770198396248
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,irc1,6145,0.2202209513694436,0.16327758218910632,-0.06904920918393666,0.7397884458909683,0.4423093490575189,0.2558065137967959,0.17524418737124284,0.13911124427277205,0.06828531868384362
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_F,6145,0.15141488949064533,0.09400864762640308,-0.03886245828274864,0.9013832384052075,0.586199679175366,0.18734629339505895,0.11011726327796174,0.191791378699149,0.14628601521722118
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_N,6145,0.20118025845505136,0.10861818229995011,-0.05568869927741762,0.7967453213995118,0.3435521765791662,0.21839567240241553,0.11919153278790973,0.07882671738862608,0.08870890608290027
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,sigma_T,6145,0.14437519992302864,0.0959500102070092,-0.05057019087836919,0.793653376729048,0.36084339595403586,0.1661570389484605,0.10692733288418961,0.13109188249429676,0.10266152143783178
pipe_grud_state_recomputed_degradation_v0,random_pipe_state_dropout_25,pipe_state_random_dropout,core,evaluated,20260612,True,pipe_grud_rollout_backtest_v0,source,wqp,wqp,test,1,yF,6145,0.2942609232318583,0.21478085757265777,-0.14031315425112775,0.9279088689991863,0.8624212281698129,0.36751069865157554,0.22491107660504026,0.19931331438370684,0.045040996580937014
