mifal_degradation_version,scenario_id,scenario_family,scenario_tier,seed,surface,split,horizon_months,mifal_variable,rows,present_rows,coverage_rate
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,Turb,3184,999,0.31375628140703515
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,DOb,3184,1018,0.31972361809045224
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,Chl,3184,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260612,observable_no_current_chla,validation,3,Chl_prev,3184,1801,0.565640703517588
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,Tw,4673,1744,0.3732077894286326
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,TP,4673,3205,0.6858549111919537
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,TN,4673,2420,0.5178686068906484
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,Secchi,4673,3215,0.6879948641129895
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,Turb,4673,1639,0.35073828375775734
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,DOb,4673,1636,0.3500962978814466
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,Chl,4673,0,0.0
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,1,Chl_prev,4673,3367,0.7205221485127328
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,2,Tw,4710,1757,0.373036093418259
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,2,TP,4710,3255,0.6910828025477707
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,2,TN,4710,2437,0.5174097664543524
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,2,Secchi,4710,3235,0.6868365180467091
mifal_controlled_degradation_v0,random_dropout_mcar_25,random_value_dropout,core,20260613,observable_no_current_chla,test,2,Turb,4710,1691,0.3590233545647558
