evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,estimand,endpoint,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,metric,estimate,status
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_mae,0.4295478860590377,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_rmse,0.4839130872479867,estimated
fresh_primary,A1,1729,seed,1,observation_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_nll,,not_estimable
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,brier,0.3084454638361743,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,pr_auc,0.42264697301378046,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,ece10,0.39601310555258207,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,reliability_bias,0.39601310555258207,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,f2,0.5748548414858806,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,recall,0.891874491491103,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,precision,0.23736551105955636,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,macro_f1,0.42461192826189165,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_mae,0.4009668890255072,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_rmse,0.4580492038977864,estimated
fresh_primary,A1,1729,seed,1,site_weighted,bloom_30_ugL,2286,2286,2286,966,966,966,risk_nll,,not_estimable
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,brier,0.3251777176383769,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,pr_auc,0.37066659028289134,estimated
fresh_primary,A1,1729,seed,2,observation_weighted,bloom_30_ugL,2286,2286,2286,933,933,933,ece10,0.4114362776090701,estimated
