evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed
legacy_posthoc,B2,20260613,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260614,seed,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260614,seed,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,B2,20260614,seed,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,M0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,M0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,M0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,-1,family,1,0.9,635,0.34330708661417325,0.4289643093656133,4.3331248484333384,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,-1,family,2,0.9,625,0.3072,0.4180770075736443,4.432604263489495,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,-1,family,3,0.9,609,0.2676518883415435,0.3959618151318394,4.601829817227532,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,1729,seed,1,0.9,635,0.3732283464566929,0.4473052067823923,4.2117909939105855,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,1729,seed,2,0.9,625,0.3408,0.43607009534140423,4.316769084126525,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,1729,seed,3,0.9,609,0.2955665024630542,0.4236215526073942,4.422933465275817,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,314159,seed,1,0.9,635,0.3543307086614173,0.41617277804566566,4.397491479295415,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,314159,seed,2,0.9,625,0.3568,0.42476951542794705,4.340786639726498,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,314159,seed,3,0.9,609,0.3251231527093596,0.4032606683644967,4.509894143334619,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260612,seed,1,0.9,635,0.3606299212598425,0.4161717930324669,4.461326019599529,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260612,seed,2,0.9,625,0.3392,0.4087643719494342,4.552053671193648,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260612,seed,3,0.9,609,0.30049261083743845,0.3904370072144316,4.6942263591829105,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260613,seed,1,0.9,635,0.3795275590551181,0.44898740145282484,4.162410007547205,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260613,seed,2,0.9,625,0.3472,0.434508819381396,4.275915034451046,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
legacy_posthoc,P0,20260613,seed,3,0.9,609,0.3054187192118227,0.3994184782382939,4.531316267310306,descriptive_available,locked_statewise_split_conformal_propagated_to_irc,False
