evaluation_cohort,model_id,horizon_months,chlorophyll_cutoff_ugL,primary_endpoint,metric,estimate,rows,interpretation,inference_performed
fresh_primary,A1,3,33.0,False,macro_f1,0.348106244786787,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,50.0,False,brier,0.3409866758773821,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,50.0,False,f2,0.27293844367015097,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,50.0,False,recall,0.7121212121212122,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,50.0,False,precision,0.07872696817420435,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,A1,3,50.0,False,macro_f1,0.31388899107693946,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,25.0,False,brier,0.31190753640259505,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,25.0,False,f2,0.5226960110041265,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,25.0,False,recall,0.7835051546391752,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,25.0,False,precision,0.22418879056047197,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,25.0,False,macro_f1,0.4063873983036178,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,30.0,True,brier,0.3184716948390025,966,primary_calibrated_endpoint,False
fresh_primary,B1,1,30.0,True,f2,0.4849624060150376,966,primary_calibrated_endpoint,False
fresh_primary,B1,1,30.0,True,recall,0.7914110429447853,966,primary_calibrated_endpoint,False
fresh_primary,B1,1,30.0,True,precision,0.1902654867256637,966,primary_calibrated_endpoint,False
fresh_primary,B1,1,30.0,True,macro_f1,0.3862027550022833,966,primary_calibrated_endpoint,False
fresh_primary,B1,1,33.0,False,brier,0.3249111893290546,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,33.0,False,f2,0.45166402535657685,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,33.0,False,recall,0.7808219178082192,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,33.0,False,precision,0.168141592920354,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,33.0,False,macro_f1,0.36939644597104904,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,50.0,False,brier,0.3519760692392543,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,50.0,False,f2,0.27096114519427406,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,50.0,False,recall,0.7066666666666667,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,50.0,False,precision,0.07817109144542773,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,1,50.0,False,macro_f1,0.29600005406702284,966,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,25.0,False,brier,0.31842887434311556,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,25.0,False,f2,0.49786628733997157,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,25.0,False,recall,0.7407407407407407,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,25.0,False,precision,0.2153846153846154,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,25.0,False,macro_f1,0.39471341711802777,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,30.0,True,brier,0.32539505087833726,933,primary_calibrated_endpoint,False
fresh_primary,B1,2,30.0,True,f2,0.4641185647425897,933,primary_calibrated_endpoint,False
fresh_primary,B1,2,30.0,True,recall,0.7531645569620253,933,primary_calibrated_endpoint,False
fresh_primary,B1,2,30.0,True,precision,0.18307692307692308,933,primary_calibrated_endpoint,False
fresh_primary,B1,2,30.0,True,macro_f1,0.3779010462482921,933,primary_calibrated_endpoint,False
fresh_primary,B1,2,33.0,False,brier,0.3309023074106416,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,33.0,False,f2,0.43657331136738053,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,33.0,False,recall,0.75177304964539,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,33.0,False,precision,0.16307692307692306,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,33.0,False,macro_f1,0.3647052597536236,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,50.0,False,brier,0.35274981631925245,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,50.0,False,f2,0.26457883369330454,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,50.0,False,recall,0.7101449275362319,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,50.0,False,precision,0.07538461538461538,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,2,50.0,False,macro_f1,0.2974440185620588,933,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,25.0,False,brier,0.3248084419011355,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,25.0,False,f2,0.4466313398940197,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,25.0,False,recall,0.6519337016574586,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,25.0,False,precision,0.19765494137353434,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,25.0,False,macro_f1,0.3784854672858446,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,30.0,True,brier,0.33002963704585664,885,primary_calibrated_endpoint,False
fresh_primary,B1,3,30.0,True,f2,0.4051796157059315,885,primary_calibrated_endpoint,False
fresh_primary,B1,3,30.0,True,recall,0.6466666666666666,885,primary_calibrated_endpoint,False
fresh_primary,B1,3,30.0,True,precision,0.1624790619765494,885,primary_calibrated_endpoint,False
fresh_primary,B1,3,30.0,True,macro_f1,0.3595692643496763,885,primary_calibrated_endpoint,False
fresh_primary,B1,3,33.0,False,brier,0.33308448335336893,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,33.0,False,f2,0.37777777777777777,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,33.0,False,recall,0.6439393939393939,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,33.0,False,precision,0.1423785594639866,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,33.0,False,macro_f1,0.348106244786787,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,50.0,False,brier,0.3409866758773821,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,50.0,False,f2,0.27293844367015097,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,50.0,False,recall,0.7121212121212122,885,predeclared_endpoint_sensitivity_without_recalibration,False
fresh_primary,B1,3,50.0,False,precision,0.07872696817420435,885,predeclared_endpoint_sensitivity_without_recalibration,False
