evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,attempted,input_eligible,prediction_successful,target_available,metric_evaluable,shared_success,success_rate,evaluable_rate,abstention_rate,failure_rate
legacy_posthoc,P0,20260614,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P1,-1,family,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P1,-1,family,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P1,-1,family,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P1,1729,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P1,1729,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P1,1729,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P1,314159,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P1,314159,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P1,314159,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260612,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260612,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260612,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260613,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260613,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260613,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260614,seed,1,4488,804,804,827,635,635,0.17914438502673796,0.14148841354723707,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260614,seed,2,4488,804,804,858,625,625,0.17914438502673796,0.1392602495543672,0.820855614973262,0.820855614973262
legacy_posthoc,P1,20260614,seed,3,4488,804,804,819,609,609,0.17914438502673796,0.1356951871657754,0.820855614973262,0.820855614973262
