model_id,base_seed,horizon_months,target,coverage,quantile,score,quantile_method,rows
P0,314159,1,yN,0.9,0.16460833325982094,absolute_state_residual,higher,273
P0,314159,1,yN,0.95,0.22254332900047302,absolute_state_residual,higher,273
P0,314159,1,yF,0.8,0.19220829010009766,absolute_state_residual,higher,273
P0,314159,1,yF,0.9,0.2413155436515808,absolute_state_residual,higher,273
P0,314159,1,yF,0.95,0.2967990040779114,absolute_state_residual,higher,273
P0,314159,1,yT,0.8,0.14787721633911133,absolute_state_residual,higher,273
P0,314159,1,yT,0.9,0.2283250093460083,absolute_state_residual,higher,273
P0,314159,1,yT,0.95,0.3677152991294861,absolute_state_residual,higher,273
P0,314159,1,sigma_N,0.8,0.05011454224586487,absolute_state_residual,higher,273
P0,314159,1,sigma_N,0.9,0.07291188836097717,absolute_state_residual,higher,273
P0,314159,1,sigma_N,0.95,0.10189372301101685,absolute_state_residual,higher,273
P0,314159,1,sigma_F,0.8,0.06609797477722168,absolute_state_residual,higher,273
P0,314159,1,sigma_F,0.9,0.0938211977481842,absolute_state_residual,higher,273
P0,314159,1,sigma_F,0.95,0.10887783765792847,absolute_state_residual,higher,273
P0,314159,1,sigma_T,0.8,0.047598741948604584,absolute_state_residual,higher,273
