evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots,artifact_path,authority_commit,limitation
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,mcar,pr_auc,higher,0.8259942597,descriptive_available,0.06611079736,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,brier,lower,0.9590789969,descriptive_available,0.0128390236,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,observation_weighted,temporal_block,pr_auc,higher,0.8978054821,descriptive_available,0.02720820258,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,brier,lower,0.9551826643,descriptive_available,0.04120364142,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,mcar,pr_auc,higher,0.8463706947,descriptive_available,0.06433074084,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,brier,lower,0.977449038,descriptive_available,0.02756787138,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
fresh_primary,P1,-1,-1,family_mean_over_registered_seeds,3,site_weighted,temporal_block,pr_auc,higher,0.9109657584,descriptive_available,0.04709497299,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,brier,lower,0.9991227992,descriptive_available,0.0008976909472,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,mcar,pr_auc,higher,0.9510632382,descriptive_available,0.02929753816,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
legacy_posthoc,M0,-1,-1,family_mean_over_registered_seeds,1,observation_weighted,temporal_block,brier,lower,0.9980324251,descriptive_available,0.00157582182,5,reports/closure_v2/06_degradation/aupd.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Robustness is under deterministic simulated missingness, not field missingness."
