score_name,horizon_months,split,source_id,rows,threshold,bloom_positive,bloom_rate,pr_auc,roc_auc,brier,recall,macro_f1
blend_irc1_w0p25,2,validation,all,154216,0.3,19697,0.1277234528194221,0.5143697793306496,0.8643431508265483,0.07850443991717133,0.5863837132558257,0.7510764791766305
blend_irc1_w0p25,2,validation,aquamatch_chla,106736,0.3,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07267746962662272,0.5779572130192292,0.741327610316436
blend_irc1_w0p25,2,validation,lakebed_us_cse,430,0.3,55,0.12790697674418605,0.3023587577673711,0.7607757575757575,0.10001325058959092,0.45454545454545453,0.6711624026696329
blend_irc1_w0p25,2,validation,wqp,47050,0.3,7629,0.16214665249734325,0.6039003268793288,0.8680860894665647,0.09152672923370392,0.6006029623803906,0.76689810157692
gate_full_irc1_w0p25,2,validation,all,154216,0.26742940533701404,19697,0.1277234528194221,0.5133503252337004,0.8636497202648898,0.07863592743949721,0.5959790831091029,0.7509502890433996
gate_full_irc1_w0p25,2,validation,aquamatch_chla,106736,0.26742940533701404,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07272528378215569,0.5829518022142679,0.7410963917624099
gate_full_irc1_w0p25,2,validation,lakebed_us_cse,430,0.26742940533701404,55,0.12790697674418605,0.3598819574201214,0.7714666666666666,0.09844082212381515,0.4727272727272727,0.6784806340660984
gate_full_irc1_w0p25,2,validation,wqp,47050,0.26742940533701404,7629,0.16214665249734325,0.6061923498040743,0.8669410812080297,0.09186360770933244,0.6173810460086512,0.7663605607279411
gate_trophic_irc1_w0p25,2,validation,all,154216,0.2696126983950315,19697,0.1277234528194221,0.5117875460433877,0.8632292968880942,0.0786485143347974,0.5959283139564401,0.7509223279217024
gate_trophic_irc1_w0p25,2,validation,aquamatch_chla,106736,0.2696126983950315,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07270141157398334,0.5829518022142679,0.7410963917624099
gate_trophic_irc1_w0p25,2,validation,lakebed_us_cse,430,0.2696126983950315,55,0.12790697674418605,0.30286111834136586,0.7620121212121211,0.09992564930838295,0.4727272727272727,0.6732782181698591
gate_trophic_irc1_w0p25,2,validation,wqp,47050,0.2696126983950315,7629,0.16214665249734325,0.6015886914325644,0.8657396376849029,0.09194544934520352,0.6172499672303055,0.7663362662842125
gate_exogenous_no_chla_w0p25,2,validation,all,154216,0.3,19697,0.1277234528194221,0.47811515116842973,0.8603787230767462,0.07904195759987677,0.5788191095090623,0.7502827811834841
gate_exogenous_no_chla_w0p25,2,validation,aquamatch_chla,106736,0.3,12013,0.1125487183330835,0.451511081985619,0.858555000924113,0.07273868938121454,0.5779572130192292,0.741327610316436
gate_exogenous_no_chla_w0p25,2,validation,lakebed_us_cse,430,0.3,55,0.12790697674418605,0.3701002233577338,0.7687272727272727,0.09785562448665461,0.45454545454545453,0.6790702633543022
gate_exogenous_no_chla_w0p25,2,validation,wqp,47050,0.3,7629,0.16214665249734325,0.5850009849138422,0.8647174370177542,0.09316939139001099,0.5810722244068686,0.7653179571753668
blend_irc1_w0p5,2,validation,all,154216,0.35,19697,0.1277234528194221,0.513941893951487,0.8642845718769345,0.0786502396010494,0.5513529979184647,0.7508194968725779
blend_irc1_w0p5,2,validation,aquamatch_chla,106736,0.35,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07264539687975372,0.5364188795471573,0.741410903959415
blend_irc1_w0p5,2,validation,lakebed_us_cse,430,0.35,55,0.12790697674418605,0.27947431238674814,0.7522909090909091,0.10396174577476912,0.23636363636363636,0.5813157894736842
blend_irc1_w0p5,2,validation,wqp,47050,0.35,7629,0.16214665249734325,0.6005301219935035,0.8670172592555655,0.0920412905053112,0.577139861056495,0.7657386130862871
gate_full_irc1_w0p5,2,validation,all,154216,0.35,19697,0.1277234528194221,0.5133724957271157,0.863750573943933,0.07868323579550128,0.5496776158805909,0.7507316793018626
gate_full_irc1_w0p5,2,validation,aquamatch_chla,106736,0.35,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07271285784641195,0.5364188795471573,0.741410903959415
gate_full_irc1_w0p5,2,validation,lakebed_us_cse,430,0.35,55,0.12790697674418605,0.35281335686718573,0.769090909090909,0.09916947328669368,0.4,0.6637748073128048
gate_full_irc1_w0p5,2,validation,wqp,47050,0.35,7629,0.16214665249734325,0.6055853150673084,0.866819209632374,0.09204020027271241,0.5716345523659719,0.76515247693338
gate_trophic_irc1_w0p5,2,validation,all,154216,0.3,19697,0.1277234528194221,0.5114317904705151,0.8630759855128444,0.07881351505360049,0.5854698685078946,0.7507012054395545
gate_trophic_irc1_w0p5,2,validation,aquamatch_chla,106736,0.3,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07267295073658829,0.5779572130192292,0.741327610316436
gate_trophic_irc1_w0p5,2,validation,lakebed_us_cse,430,0.3,55,0.12790697674418605,0.28030571002786325,0.7548363636363636,0.10376791380624784,0.4,0.6436533411146776
gate_trophic_irc1_w0p5,2,validation,wqp,47050,0.3,7629,0.16214665249734325,0.5995757551103714,0.8648273199443317,0.09251572294896658,0.5986367807052039,0.7660897228919743
gate_exogenous_no_chla_w0p5,2,validation,all,154216,0.3,19697,0.1277234528194221,0.47638504801658377,0.8586061042925645,0.07981236049543346,0.5762298827232574,0.749942623796809
gate_exogenous_no_chla_w0p5,2,validation,aquamatch_chla,106736,0.3,12013,0.1125487183330835,0.451511081985619,0.858555000924113,0.07273868938121454,0.5779572130192292,0.741327610316436
gate_exogenous_no_chla_w0p5,2,validation,lakebed_us_cse,430,0.3,55,0.12790697674418605,0.35406202395224257,0.7525333333333333,0.09916365290305132,0.41818181818181815,0.6512328513162773
gate_exogenous_no_chla_w0p5,2,validation,wqp,47050,0.3,7629,0.16214665249734325,0.5792111926128427,0.8579798611244601,0.09568259013011986,0.574649364267925,0.7648266995348134
blend_irc1_w0p75,2,validation,all,154216,0.2804641373277936,19697,0.1277234528194221,0.5109710374099808,0.8629187307430437,0.07923825535604338,0.5890237091942936,0.7471196153708888
blend_irc1_w0p75,2,validation,aquamatch_chla,106736,0.2804641373277936,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07264247114060754,0.5829518022142679,0.7410963917624099
blend_irc1_w0p75,2,validation,lakebed_us_cse,430,0.2804641373277936,55,0.12790697674418605,0.23871329479323097,0.7238787878787879,0.11086469011111727,0.2,0.5497950173446862
blend_irc1_w0p75,2,validation,wqp,47050,0.2804641373277936,7629,0.16214665249734325,0.5906469200940189,0.8621998007606559,0.09391218218014707,0.6013894350504654,0.756603204425887
gate_full_irc1_w0p75,2,validation,all,154216,0.3,19697,0.1277234528194221,0.5123740143484433,0.8634231223634408,0.07894278137242139,0.5830329491800782,0.7494667437303156
gate_full_irc1_w0p75,2,validation,aquamatch_chla,106736,0.3,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07270141157398334,0.5779572130192292,0.741327610316436
gate_full_irc1_w0p75,2,validation,lakebed_us_cse,430,0.3,55,0.12790697674418605,0.33676645551724743,0.7667636363636363,0.1012051580442183,0.4,0.6389090197973105
gate_full_irc1_w0p75,2,validation,wqp,47050,0.3,7629,0.16214665249734325,0.601057431386489,0.865057596439488,0.0928982760554652,0.5923449993446062,0.7627212500618905
gate_trophic_irc1_w0p75,2,validation,all,154216,0.2627602746762124,19697,0.1277234528194221,0.5090969096607605,0.8620438827082355,0.07929585846081845,0.5916637051327613,0.7485559288245816
gate_trophic_irc1_w0p75,2,validation,aquamatch_chla,106736,0.2627602746762124,12013,0.1125487183330835,0.4523361786443697,0.8585993722851256,0.07265330686902939,0.5829518022142679,0.7410829758749291
gate_trophic_irc1_w0p75,2,validation,lakebed_us_cse,430,0.2627602746762124,55,0.12790697674418605,0.2399625967397343,0.7277818181818181,0.11054599804917722,0.2,0.5463628352633081
gate_trophic_irc1_w0p75,2,validation,wqp,47050,0.2627602746762124,7629,0.16214665249734325,0.5922219342998536,0.8611649547371223,0.09407931917661445,0.6082055315244462,0.7606525454699615
gate_exogenous_no_chla_w0p75,2,validation,all,154216,0.2688913142334839,19697,0.1277234528194221,0.4714623943460837,0.8557302266711609,0.0811120649910793,0.585368330202569,0.7451414641691778
gate_exogenous_no_chla_w0p75,2,validation,aquamatch_chla,106736,0.2688913142334839,12013,0.1125487183330835,0.451511081985619,0.858555000924113,0.07273868938121454,0.5829518022142679,0.7410963917624099
gate_exogenous_no_chla_w0p75,2,validation,lakebed_us_cse,430,0.2688913142334839,55,0.12790697674418605,0.3062904749232094,0.7301333333333334,0.10294328980477287,0.41818181818181815,0.6302585034013606
gate_exogenous_no_chla_w0p75,2,validation,wqp,47050,0.2688913142334839,7629,0.16214665249734325,0.5637297379161798,0.8478301022319706,0.09990809458565184,0.5903788176694194,0.7507219645390922
meta_logistic,2,validation,all,154216,0.7999999999999999,19697,0.1277234528194221,0.5663794551105779,0.8824631521991372,0.13327614156833772,0.5611514443823933,0.7566015509566363
