model_version,source_id,horizon_months,split,decile,rows,bloom_positive,bloom_rate,base_bloom_rate,lift,capture_rate,cumulative_capture_rate,mean_pred_probability,min_pred_probability,max_pred_probability
current_refined_fuzzy_v0,aquamatch_chla,2,test,9,6512,108,0.016584766584766583,0.1196308183730823,0.1386328941848839,0.01386392811296534,0.9842105263157894,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,aquamatch_chla,2,test,10,6511,123,0.01889110735678083,0.1196308183730823,0.15791171216322175,0.015789473684210527,1.0,0.019409815939903787,0.019409815939903787,0.019409815939903787
current_refined_fuzzy_v0,lakebed_us_cse,2,test,1,16,12,0.75,0.12582781456953643,5.9605263157894735,0.631578947368421,0.631578947368421,0.5014589987832875,0.4697647413180292,0.5960955787601678
current_refined_fuzzy_v0,lakebed_us_cse,2,test,2,15,2,0.13333333333333333,0.12582781456953643,1.0596491228070175,0.10526315789473684,0.7368421052631579,0.25534694407946057,0.18182090147586757,0.39194029473965425
current_refined_fuzzy_v0,lakebed_us_cse,2,test,3,15,1,0.06666666666666667,0.12582781456953643,0.5298245614035088,0.05263157894736842,0.7894736842105263,0.13059960988767613,0.10231687014428413,0.168614012633665
current_refined_fuzzy_v0,lakebed_us_cse,2,test,4,15,2,0.13333333333333333,0.12582781456953643,1.0596491228070175,0.10526315789473684,0.8947368421052632,0.09376064701955127,0.08595643212316678,0.1011719067778361
current_refined_fuzzy_v0,lakebed_us_cse,2,test,5,15,1,0.06666666666666667,0.12582781456953643,0.5298245614035088,0.05263157894736842,0.9473684210526315,0.0795769059806163,0.07193976344986393,0.0851930848675348
current_refined_fuzzy_v0,lakebed_us_cse,2,test,6,15,0,0.0,0.12582781456953643,0.0,0.0,0.9473684210526315,0.06546584837177545,0.059984761694940145,0.07178856916538698
current_refined_fuzzy_v0,lakebed_us_cse,2,test,7,15,0,0.0,0.12582781456953643,0.0,0.0,0.9473684210526315,0.04259263826912195,0.032345489208653155,0.05830661648545674
current_refined_fuzzy_v0,lakebed_us_cse,2,test,8,15,0,0.0,0.12582781456953643,0.0,0.0,0.9473684210526315,0.027638689067333307,0.01952782484842547,0.032345489208653155
current_refined_fuzzy_v0,lakebed_us_cse,2,test,9,15,0,0.0,0.12582781456953643,0.0,0.0,0.9473684210526315,0.01952782484842547,0.01952782484842547,0.01952782484842547
current_refined_fuzzy_v0,lakebed_us_cse,2,test,10,15,1,0.06666666666666667,0.12582781456953643,0.5298245614035088,0.05263157894736842,1.0,0.017474225130770064,0.014938630923336802,0.01952782484842547
current_refined_fuzzy_v0,wqp,2,test,1,5043,3780,0.7495538370017847,0.1776173571584396,4.220048361226104,0.42206342117016526,0.42206342117016526,0.6052085583218421,0.5863281384383254,0.6679537742550374
current_refined_fuzzy_v0,wqp,2,test,2,5042,2300,0.45616818722729074,0.1776173571584396,2.5682635668335956,0.25681107637338096,0.6788744975435462,0.4126902134055171,0.2513429514786104,0.5863281384383254
current_refined_fuzzy_v0,wqp,2,test,3,5042,1050,0.20825069416898057,0.1776173571584396,1.1724681500762066,0.1172398392139348,0.796114336757481,0.18670166320822765,0.13467906573574967,0.2513429514786104
current_refined_fuzzy_v0,wqp,2,test,4,5043,593,0.11758873686297838,0.1776173571584396,0.6620340418537247,0.06621259490844127,0.8623269316659223,0.10726372512346995,0.0881725426781722,0.13461975047173697
current_refined_fuzzy_v0,wqp,2,test,5,5042,448,0.08885362951209837,0.1776173571584396,0.5002530773658481,0.05002233139794551,0.9123492630638678,0.07728335885065826,0.07190627288259703,0.0881605891371003
current_refined_fuzzy_v0,wqp,2,test,6,5042,320,0.0634668782229274,0.1776173571584396,0.35732362668989154,0.03573023671281822,0.948079499776686,0.06141884768017509,0.042544364666643644,0.07190627288259703
current_refined_fuzzy_v0,wqp,2,test,7,5043,200,0.039658933174697604,0.1776173571584396,0.22328298207545527,0.022331397945511387,0.9704108977221975,0.03332150426405823,0.027319227548117227,0.042544364666643644
current_refined_fuzzy_v0,wqp,2,test,8,5042,162,0.032130107100357,0.1776173571584396,0.18089508601175758,0.018088432335864227,0.9884993300580617,0.02336815177509591,0.01955634366798488,0.027319227548117227
current_refined_fuzzy_v0,wqp,2,test,9,5042,72,0.014280047600158666,0.1776173571584396,0.0803978160052256,0.0080393032603841,0.9965386333184457,0.019336297070004373,0.018584230255366593,0.01955634366798488
current_refined_fuzzy_v0,wqp,2,test,10,5042,31,0.0061483538278460925,0.1776173571584396,0.03461572633558324,0.0034613666815542653,1.0,0.017571104875852134,0.014938630923336802,0.018584230255366593
current_refined_fuzzy_v0,all,2,validation,1,15422,9202,0.5966800674361302,0.1277234528194221,4.671656256268989,0.46717774280347263,0.46717774280347263,0.5764086968928432,0.5552357698043828,0.6679537742550374
