model_version,group_type,group_value,source_id,horizon_months,split,rows,threshold,bloom_positive,bloom_rate,tn,fp,fn,tp,precision,recall,specificity,false_positive_rate,false_negative_rate,macro_f1,pr_auc,roc_auc,brier
current_refined_fuzzy_v0,exogenous_evidence_band,medium,all,3,test,19798,0.3133646594283974,3106,0.15688453379129205,15539,1153,984,2122,0.64793893129771,0.683193818415969,0.9309249940091061,0.06907500599089385,0.3168061815840309,0.8003805564290136,0.7143200560878462,0.9055972558542953,0.07715081683795615
current_refined_fuzzy_v0,exogenous_evidence_band,missing,all,3,test,56086,0.3133646594283974,6709,0.11961986948614628,45900,3477,2734,3975,0.53341384863124,0.5924877030854077,0.9295825991858557,0.07041740081414424,0.40751229691459234,0.7490152964942878,0.5373221756590423,0.860097992547735,0.07506022532903567
current_refined_fuzzy_v0,overall,all,all,3,validation,136038,0.3133646594283974,17377,0.127736367779591,109510,9151,7473,9904,0.5197585935450013,0.5699487828739138,0.9228811488189043,0.07711885118109572,0.4300512171260862,0.7365753757890607,0.5368857835988474,0.8502089439181707,0.08066772557713792
current_refined_fuzzy_v0,source,aquamatch_chla,aquamatch_chla,3,validation,94463,0.3133646594283974,10450,0.11062532420100991,77989,6024,4779,5671,0.4849080803762292,0.5426794258373205,0.9282968112077893,0.07170318879221073,0.4573205741626794,0.7236981123430699,0.4808141760360147,0.842476628560048,0.07421287087942266
current_refined_fuzzy_v0,source,lakebed_us_cse,lakebed_us_cse,3,validation,421,0.3133646594283974,51,0.12114014251781473,332,38,32,19,0.3333333333333333,0.37254901960784315,0.8972972972972973,0.10270270270270271,0.6274509803921569,0.6282420022202039,0.32796079088528923,0.7843932167461579,0.09590131169787744
current_refined_fuzzy_v0,source,wqp,wqp,3,validation,41154,0.3133646594283974,6876,0.1670797492345823,31189,3089,2662,4214,0.5770231411748596,0.6128563118091914,0.9098838905420387,0.09011610945796138,0.38714368819080863,0.7549933885116078,0.6114328409907922,0.8540160380132455,0.09532806477997226
current_refined_fuzzy_v0,full_evidence_band,high,all,3,validation,17328,0.3133646594283974,3753,0.21658587257617729,11796,1779,1216,2537,0.5878127896200185,0.6759925393018918,0.868950276243094,0.13104972375690607,0.3240074606981082,0.7580886667664224,0.6464389404392321,0.837901504456349,0.11479108157268075
current_refined_fuzzy_v0,full_evidence_band,low,all,3,validation,97375,0.3133646594283974,10807,0.11098331193838254,80474,6094,5042,5765,0.4861286786406948,0.5334505413158138,0.9296044727844007,0.0703955272155993,0.4665494586841862,0.7219894249368299,0.4788696191558324,0.8414655585105395,0.07469355114298018
current_refined_fuzzy_v0,full_evidence_band,medium,all,3,validation,21272,0.3133646594283974,2805,0.13186348251222263,17204,1263,1207,1598,0.5585459629500175,0.5696969696969697,0.9316077327124059,0.06839226728759408,0.4303030303030303,0.7485443794630493,0.5858990178730762,0.86705853009275,0.07988789682312808
current_refined_fuzzy_v0,full_evidence_band,missing,all,3,validation,63,0.3133646594283974,12,0.19047619047619047,36,15,8,4,0.21052631578947367,0.3333333333333333,0.7058823529411765,0.29411764705882354,0.6666666666666666,0.5079796264855687,0.3047619047619048,0.42483660130718953,0.19232233019047504
current_refined_fuzzy_v0,exogenous_evidence_band,high,all,3,validation,18000,0.3133646594283974,3698,0.20544444444444446,12568,1734,1244,2454,0.5859598853868195,0.6636019469983775,0.878758215634177,0.12124178436582296,0.3363980530016225,0.7582214407624217,0.6387068784660993,0.8381140780743053,0.11042638364332338
current_refined_fuzzy_v0,exogenous_evidence_band,low,all,3,validation,3349,0.3133646594283974,479,0.14302776948342788,2695,175,281,198,0.5308310991957105,0.4133611691022965,0.9390243902439024,0.06097560975609756,0.5866388308977035,0.6933933398543846,0.47917280555065545,0.8167527441752197,0.09961187544940828
current_refined_fuzzy_v0,exogenous_evidence_band,medium,all,3,validation,19945,0.3133646594283974,2714,0.1360742040611682,16037,1194,1151,1563,0.5669205658324266,0.5759027266028003,0.9307062851836806,0.06929371481631942,0.4240972733971997,0.7516226869227867,0.5988696879266128,0.8722361395827053,0.08094312247246416
current_refined_fuzzy_v0,exogenous_evidence_band,missing,all,3,validation,94744,0.3133646594283974,10486,0.11067719327873005,78210,6048,4797,5689,0.48470648376927666,0.5425329010108716,0.9282204657124546,0.0717795342875454,0.45746709898912835,0.7235774229742153,0.4804253384603628,0.8423633555469239,0.07428639700550431
