evaluation_cohort,model_id,model_seed,degradation_seed,aggregation_level,horizon_months,estimand,degradation_family,metric,retention_orientation,aupd,status,aupd_seed_sd,registered_seed_slots
fresh_primary,M0,1729,1729,seed,2,site_weighted,mcar,brier,lower,1.0010153469416825,estimated,,1
fresh_primary,M0,1729,314159,seed,2,site_weighted,mcar,brier,lower,1.0011892718332276,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,site_weighted,mcar,brier,lower,1.0011589570679242,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,site_weighted,mcar,brier,lower,1.004345303974661,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,site_weighted,mcar,brier,lower,1.004197044219215,estimated,,1
fresh_primary,M0,1729,1729,seed,2,site_weighted,mcar,pr_auc,higher,1.2352089335664305,estimated,,1
fresh_primary,M0,1729,314159,seed,2,site_weighted,mcar,pr_auc,higher,0.9844953255358625,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,site_weighted,mcar,pr_auc,higher,1.0761166707453838,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,site_weighted,mcar,pr_auc,higher,0.9839590921848065,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,site_weighted,mcar,pr_auc,higher,1.1170339643181817,estimated,,1
fresh_primary,M0,1729,1729,seed,2,site_weighted,temporal_block,brier,lower,0.9995952660958247,estimated,,1
fresh_primary,M0,1729,314159,seed,2,site_weighted,temporal_block,brier,lower,0.9992227807286151,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,site_weighted,temporal_block,brier,lower,1.0011893718808011,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,site_weighted,temporal_block,brier,lower,1.0004095130018487,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,site_weighted,temporal_block,brier,lower,0.9998383723836236,estimated,,1
fresh_primary,M0,1729,1729,seed,2,site_weighted,temporal_block,pr_auc,higher,1.1232834202788284,estimated,,1
fresh_primary,M0,1729,314159,seed,2,site_weighted,temporal_block,pr_auc,higher,1.0162356914377793,estimated,,1
fresh_primary,M0,1729,20260612,seed,2,site_weighted,temporal_block,pr_auc,higher,1.010970874751516,estimated,,1
fresh_primary,M0,1729,20260613,seed,2,site_weighted,temporal_block,pr_auc,higher,0.9607350072393203,estimated,,1
fresh_primary,M0,1729,20260614,seed,2,site_weighted,temporal_block,pr_auc,higher,0.9857025933558351,estimated,,1
fresh_primary,M0,1729,1729,seed,3,observation_weighted,mcar,brier,lower,0.9998736579603729,estimated,,1
fresh_primary,M0,1729,314159,seed,3,observation_weighted,mcar,brier,lower,0.9970882405364027,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,observation_weighted,mcar,brier,lower,0.998537712898222,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,observation_weighted,mcar,brier,lower,0.9980362285849892,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,observation_weighted,mcar,brier,lower,0.9965945495096882,estimated,,1
fresh_primary,M0,1729,1729,seed,3,observation_weighted,mcar,pr_auc,higher,1.1271667199528022,estimated,,1
fresh_primary,M0,1729,314159,seed,3,observation_weighted,mcar,pr_auc,higher,1.0267774001643302,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,observation_weighted,mcar,pr_auc,higher,1.0540568830235948,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,observation_weighted,mcar,pr_auc,higher,1.048814114058204,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,observation_weighted,mcar,pr_auc,higher,0.9851003835947958,estimated,,1
fresh_primary,M0,1729,1729,seed,3,observation_weighted,temporal_block,brier,lower,0.9971556777208646,estimated,,1
fresh_primary,M0,1729,314159,seed,3,observation_weighted,temporal_block,brier,lower,0.9971647020454597,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,observation_weighted,temporal_block,brier,lower,0.9986080851960626,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,observation_weighted,temporal_block,brier,lower,0.9966856425865519,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,observation_weighted,temporal_block,brier,lower,0.9965641203962212,estimated,,1
fresh_primary,M0,1729,1729,seed,3,observation_weighted,temporal_block,pr_auc,higher,1.101147496827475,estimated,,1
fresh_primary,M0,1729,314159,seed,3,observation_weighted,temporal_block,pr_auc,higher,1.1127351385723996,estimated,,1
fresh_primary,M0,1729,20260612,seed,3,observation_weighted,temporal_block,pr_auc,higher,1.0224011398885984,estimated,,1
fresh_primary,M0,1729,20260613,seed,3,observation_weighted,temporal_block,pr_auc,higher,1.1229566245635387,estimated,,1
fresh_primary,M0,1729,20260614,seed,3,observation_weighted,temporal_block,pr_auc,higher,1.0464172683109938,estimated,,1
