hypothesis_id,hypothesis_text,decisive_experiments,estimand,population,model_or_pair,availability_state,attempted_denominator,successful_denominator,metric,estimate,uncertainty,multiplicity_family,verdict,limitation_code,evidence_paths,authority_commit
H3:locked_conformal_primary_groups,Uncertainty and degradation,E8;E6,descriptive_group_coverage_within_absolute_margin_0.05,locked_location_holdout_A0_A1_five_seeds_three_horizons,A0_and_A1_locked_conformal,descriptive_available,30,26,groups_within_nominal_margin,0.8667,,,partial_descriptive_only,CONFIRMATORY_P1_AND_E6_NOT_ESTIMABLE,reports/closure_v1/08_uncertainty/uncertainty_ledger.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_light:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_light:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_light:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_light:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_light:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_light:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_light:h2:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_light:h2:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_light:h3:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_light:h3:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_light:h3:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_light:h3:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_nutrients:h1:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_nutrients:h1:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_nutrients:h1:irc_alert_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_nutrients:h1:irc_alert_h,model_unavailable,44880,0,irc_alert_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
H4:ablate_nutrients:h2:bloom_h,MIFAL as a robustness contrast,E6,paired_five_seed_mean_delta_by_scenario_horizon_endpoint,location_holdout,M0_vs_P1:ablate_nutrients:h2:bloom_h,model_unavailable,44880,0,bloom_h,,,B,not_estimable,NO_M0_P1_SHARED_SUCCESS,reports/closure_v1/00_protocol/hypothesis_registry.csv;reports/closure_v1/06_degradation/failure_registry.csv;reports/closure_v1/05_inference/multiplicity_report.csv,ea8ddce7f8edb9a61db97e29178e52603fa371b1
