model_id,base_seed,time_role,origin_year_month,intent_rows,complete_case_rows,noneligible_rows,noneligible_fraction
P0,1729,training,2007-10,44,44,0,0.0
P0,1729,training,2007-11,44,43,1,0.022727272727272728
P0,1729,training,2007-12,45,43,2,0.044444444444444446
P0,1729,training,2008-01,42,40,2,0.047619047619047616
P0,1729,training,2008-02,39,38,1,0.02564102564102564
P0,1729,training,2008-03,38,36,2,0.05263157894736842
P0,1729,training,2008-04,35,35,0,0.0
P0,1729,training,2008-05,37,36,1,0.02702702702702703
P0,1729,training,2008-06,39,39,0,0.0
P0,1729,training,2008-07,46,46,0,0.0
P0,1729,training,2008-08,47,47,0,0.0
P0,1729,training,2008-09,49,42,7,0.14285714285714285
P0,1729,training,2008-10,43,43,0,0.0
P0,1729,training,2008-11,40,40,0,0.0
P0,1729,training,2008-12,50,49,1,0.02
P0,1729,training,2009-01,52,40,12,0.23076923076923078
P0,1729,training,2009-02,42,39,3,0.07142857142857142
P0,1729,training,2009-03,39,29,10,0.2564102564102564
P0,1729,training,2009-04,29,26,3,0.10344827586206896
P0,1729,training,2009-05,25,25,0,0.0
P0,1729,training,2009-06,25,22,3,0.12
P0,1729,training,2009-07,21,20,1,0.047619047619047616
P0,1729,training,2009-08,23,21,2,0.08695652173913043
P0,1729,training,2009-09,22,22,0,0.0
P0,1729,training,2009-10,22,14,8,0.36363636363636365
P0,1729,training,2009-11,14,14,0,0.0
P0,1729,training,2009-12,14,14,0,0.0
P0,1729,training,2010-01,14,14,0,0.0
P0,1729,training,2010-02,14,14,0,0.0
P0,1729,training,2010-03,14,14,0,0.0
P0,1729,training,2010-04,16,16,0,0.0
P0,1729,training,2010-05,17,17,0,0.0
P0,1729,training,2010-06,24,24,0,0.0
P0,1729,training,2010-07,26,26,0,0.0
P0,1729,training,2010-08,25,25,0,0.0
P0,1729,training,2010-09,26,26,0,0.0
P0,1729,training,2010-10,26,26,0,0.0
P0,1729,training,2010-11,27,26,1,0.037037037037037035
P0,1729,training,2010-12,27,25,2,0.07407407407407407
P0,1729,training,2011-01,27,25,2,0.07407407407407407
P0,1729,training,2011-02,26,26,0,0.0
P0,1729,training,2011-03,27,27,0,0.0
P0,1729,training,2011-04,31,31,0,0.0
P0,1729,training,2011-05,31,31,0,0.0
P0,1729,training,2011-06,31,29,2,0.06451612903225806
P0,1729,training,2011-07,28,28,0,0.0
P0,1729,training,2011-08,29,28,1,0.034482758620689655
P0,1729,training,2011-09,28,27,1,0.03571428571428571
P0,1729,training,2011-10,28,27,1,0.03571428571428571
P0,1729,training,2011-11,29,29,0,0.0
P0,1729,training,2011-12,31,26,5,0.16129032258064516
P0,1729,training,2012-01,18,17,1,0.05555555555555555
P0,1729,training,2012-02,17,17,0,0.0
P0,1729,training,2012-03,18,18,0,0.0
P0,1729,training,2012-04,18,18,0,0.0
P0,1729,training,2012-05,17,17,0,0.0
P0,1729,training,2012-06,19,19,0,0.0
P0,1729,training,2012-07,19,9,10,0.5263157894736842
P0,1729,training,2012-08,6,5,1,0.16666666666666666
P0,1729,training,2012-09,2,2,0,0.0
P0,1729,training,2012-10,2,2,0,0.0
P0,1729,training,2012-11,2,2,0,0.0
P0,1729,training,2012-12,2,1,1,0.5
P0,1729,training,2013-01,1,1,0,0.0
P0,1729,training,2013-02,2,2,0,0.0
P0,1729,training,2013-03,2,2,0,0.0
P0,1729,training,2013-04,2,2,0,0.0
P0,1729,training,2013-05,2,2,0,0.0
P0,1729,training,2013-06,2,2,0,0.0
P0,1729,training,2013-07,2,2,0,0.0
P0,1729,training,2013-08,8,8,0,0.0
