model_id,surface_id,endpoint,model_seed,seed_slot,nominal_coverage,breakdown_id,stratum,attempted_row_count,success_row_count,failure_row_count,location_count,empirical_coverage,absolute_coverage_error,mean_interval_width,median_interval_width,winkler_interval_score,status
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,horizon,2,4488,625,3863,33,0.96479999999999999,0.014800000000000035,1.4035687964791974,1.3667032028841331,1.4901280541463584,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,horizon,3,4488,609,3879,33,0.97701149425287359,0.027011494252873636,1.4677981400047384,1.4184866239142022,1.5046259460911109,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,predicted_risk_band,"[0,.25)",122,122,0,4,1,0.050000000000000044,1.8323285779750267,1.7648517985342236,1.8323285779750267,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,predicted_risk_band,"[.25,.5)",302,302,0,12,1,0.050000000000000044,1.3837146364341504,1.3395319912797878,1.3837146364341504,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,predicted_risk_band,"[.5,.75)",713,713,0,24,0.94530154277699863,0.0046984572230013288,1.3771529951558608,1.3683875353197865,1.4443753184035435,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,predicted_risk_band,"[.75,1]",732,732,0,19,0.97267759562841527,0.022677595628415315,1.4129539151476,1.4031098064402041,1.5187088470435492,available
A0,closure_v1_primary,target_risk_chla_h,20260612,20260612,0.94999999999999996,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,global,all,13464,1869,11595,33,0.8346709470304976,0.034670947030497556,0.88898372304037787,0.89131732397476282,1.1116910389617456,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,horizon,1,4488,635,3853,32,0.8409448818897638,0.040944881889763751,0.88982395591331298,0.88252165336999888,1.1155520134613441,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,horizon,2,4488,625,3863,33,0.83199999999999996,0.031999999999999917,0.89510639033645822,0.90177861163384221,1.1180106171310393,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,horizon,3,4488,609,3879,33,0.8308702791461412,0.030870279146141155,0.88182409260628269,0.8893764921807199,1.1011796183327576,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,predicted_risk_band,"[0,.25)",194,194,0,7,1,0.19999999999999996,0.82165926590112603,0.79355480478024787,0.82165926590112603,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,predicted_risk_band,"[.25,.5)",249,249,0,12,0.77510040160642568,0.024899598393574363,0.81302421782471768,0.80305712818024144,0.91284930455330704,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,predicted_risk_band,"[.5,.75)",796,796,0,25,0.71733668341708545,0.082663316582914592,0.88094312037526812,0.87219168644164569,1.2996000719552578,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,predicted_risk_band,"[.75,1]",630,630,0,18,0.9555555555555556,0.15555555555555556,0.94989670908028523,0.94768668797417899,1.0421706668643265,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.80000000000000004,predicted_risk_band,not_available,11595,0,11595,0,,,,,,insufficient_support
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,global,all,13464,1869,11595,33,0.9438202247191011,0.043820224719101075,1.240288601006198,1.2348969843076198,1.3138018861458649,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,horizon,1,4488,635,3853,32,0.93070866141732278,0.030708661417322758,1.2097939202305372,1.1998657977498182,1.3226852366079895,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,horizon,2,4488,625,3863,33,0.94879999999999998,0.048799999999999955,1.2644376571099227,1.2738629142146249,1.3218297061523558,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,horizon,3,4488,609,3879,33,0.95238095238095233,0.052380952380952306,1.2473016752717423,1.2579842147039271,1.2963005478084162,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,predicted_risk_band,"[0,.25)",194,194,0,7,1,0.099999999999999978,1.1457860623353242,1.1102191212164132,1.1457860623353242,available
A0,closure_v1_primary,target_risk_chla_h,20260613,20260613,0.90000000000000002,predicted_risk_band,"[.25,.5)",249,249,0,12,1,0.099999999999999978,1.133234632225137,1.1182518763970888,1.133234632225137,available
