reference,evaluation_cohort,evaluation_role,model_id,model_seed,seed_slot,horizon_months,attempted_row_count,ordinal_success_row_count,reference_available_row_count,evaluation_row_count,site_count,status,input_ineligible_row_count,target_unavailable_row_count,model_unavailable_row_count,numerical_failure_row_count,infrastructure_failure_row_count,not_applicable_row_count,rows,macro_f1,quadratic_weighted_kappa,ordinal_mae,severe_error_rate,recall_oligotrophic,recall_mesotrophic,recall_eutrophic,recall_hypereutrophic
tsi_tp_h,location_holdout,test,B2,20260612,20260612,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.47836424011636225,0.6517656607215323,0.500651890482399,0.041720990873533245,0.71818181818181814,0.35971223021582732,0.63950617283950617,0.24778761061946902
tsi_tp_h,location_holdout,test,B2,20260613,20260613,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.41779941792361147,0.56631443828732264,0.66967741935483871,0.087741935483870964,0.89247311827956988,0.31205673758865249,0.37735849056603776,0.34188034188034189
tsi_tp_h,location_holdout,test,B2,20260613,20260613,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.47810530506665105,0.6061041622067953,0.52670807453416146,0.032298136645962733,0.59782608695652173,0.41258741258741261,0.5758928571428571,0.29508196721311475
tsi_tp_h,location_holdout,test,B2,20260613,20260613,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.47836424011636225,0.6517656607215323,0.500651890482399,0.041720990873533245,0.71818181818181814,0.35971223021582732,0.63950617283950617,0.24778761061946902
tsi_tp_h,location_holdout,test,B2,20260614,20260614,1,4488,827,1106,775,38,available,0,3661,0,0,0,0,775,0.41779941792361147,0.56631443828732264,0.66967741935483871,0.087741935483870964,0.89247311827956988,0.31205673758865249,0.37735849056603776,0.34188034188034189
tsi_tp_h,location_holdout,test,B2,20260614,20260614,2,4488,858,1076,805,39,available,0,3630,0,0,0,0,805,0.47810530506665105,0.6061041622067953,0.52670807453416146,0.032298136645962733,0.59782608695652173,0.41258741258741261,0.5758928571428571,0.29508196721311475
tsi_tp_h,location_holdout,test,B2,20260614,20260614,3,4488,819,1042,767,44,available,0,3669,0,0,0,0,767,0.47836424011636225,0.6517656607215323,0.500651890482399,0.041720990873533245,0.71818181818181814,0.35971223021582732,0.63950617283950617,0.24778761061946902
tsi_tp_h,location_holdout,test,F0,1729,1729,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,1729,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,1729,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,314159,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,314159,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,314159,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260612,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260612,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260612,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260613,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260613,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260613,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260614,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260614,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F0,1729,20260614,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,1729,1729,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,1729,1729,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,1729,1729,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,314159,314159,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,314159,314159,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,314159,314159,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260612,20260612,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260612,20260612,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260612,20260612,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260613,20260613,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260613,20260613,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260613,20260613,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260614,20260614,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260614,20260614,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,F1,20260614,20260614,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,1729,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,1729,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,1729,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,314159,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,314159,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,314159,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260612,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260612,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260612,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260613,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260613,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260613,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260614,1,4488,0,1106,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260614,2,4488,0,1076,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,M0,1729,20260614,3,4488,0,1042,0,0,not_applicable,0,0,0,0,0,4488,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,1729,1729,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,1729,1729,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,1729,1729,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,314159,314159,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,314159,314159,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,314159,314159,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260612,20260612,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260612,20260612,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260612,20260612,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260613,20260613,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260613,20260613,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260613,20260613,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260614,20260614,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260614,20260614,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P0,20260614,20260614,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,1729,1729,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,1729,1729,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,1729,1729,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,314159,314159,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,314159,314159,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,314159,314159,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,20260612,20260612,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,20260612,20260612,2,4488,0,1076,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,20260612,20260612,3,4488,0,1042,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
tsi_tp_h,location_holdout,test,P1,20260613,20260613,1,4488,0,1106,0,0,model_unavailable,0,0,4488,0,0,0,0,,,,,,,,
